Position	TITOLO	ANNO	LINK	FORMATO	LOCANDINA	LINGUA	GENERE	TRAMA	DURATA	INFO
1	12 Years a Slave	2013	http://www.deadlyblogger.com/NewRelease/12slave.mp4	mp4	https://m.media-amazon.com/images/I/71b+zia-nQL._SL1500_.jpg	Inglese	drama/History	The telling of the story of Solomon Northup, an African American violinist kidnapped and sold as a slave in the southern United States.	2h14m	
2	28 Days Later	2002	http://www.deadlyblogger.com/NewRelease/28days.mp4	mp4	https://static.wikia.nocookie.net/cinemorgue/images/e/e2/28-days-later.jpg/revision/latest?cb=20160916184718	Inglese	Horror	A powerful virus that turns people into murderers escapes from an English research laboratory. In 28 days the epidemic is rampant and the survivors gather to flee the city.	1h53m	
3	3 Ninja 2 Kick Back	1994	http://www.deadlyblogger.com/NewRelease/3ninja2.mp4	mp4	https://images-na.ssl-images-amazon.com/images/I/51OwXSEY%2BML._AC_UL600_SR462,600_.jpg	Inglese	Comedy/Family	Following their grandfather to Japan, the three children are chased by a trio of zany thieves and an army of perfectly trained ninjas. Rocky, Colt and Tam Tam are overwhelmed by the acrobatic action and irrepressible comedy.	1h39m	
4	3 Ninja 3 Knuckle up	1993	http://www.deadlyblogger.com/NewRelease/3ninja3.mp4	mp4	https://upload.wikimedia.org/wikipedia/en/4/45/3_ninjas_knuckle_up_poster.jpg	Inglese	Comedy/Family	Rocky, Colt and Tum Tum, three wild boys, find themselves embroiled in a dispute between an Indian tribe and a ruthless businessman who has used the community's territories as a landfill.	1h28m	
5	3 Ninja 4 High Noon at Mega Mountain	1998	http://www.deadlyblogger.com/NewRelease/3ninja4.mp4	mp4	https://m.media-amazon.com/images/M/MV5BY2IzOTc2OWEtYTEwYy00ZTk5LWIxZWYtNDc3ZjM4MTZkODk4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg	Inglese	Comedy/Family	Three ninja brothers travel to Mega Mountain amusement park, where they want to meet their television idol, Dave Dragon. However, on that very day, the diabolical Medusa takes over the park with her strength.	1h34m	
6	3 Ninjas	1992	http://www.deadlyblogger.com/NewRelease/3ninja1.mp4	mp4	https://ringostrack.com/storage/covers/7358_3-ninjas.jpg	Inglese	Action/Comedy/Family	Each year, three brothers visit their grandfather for the summer. He is highly skilled in ninjutsu, and for years he has trained the boys in his techniques.	1h24m	
7	300: Rise of an Empire	2014	http://www.deadlyblogger.com/NewRelease/otherguys.mp4	mp4	https://i.pinimg.com/originals/25/5f/0e/255f0e3adbdc5e4b588daf00b0810fbd.jpg	Inglese	Action/War	The return of Themistocles against the massive invasion by the Persian forces, led by the man transformed into a god, Xerxes, and by Artemisia, the vengeful commander of the Persian navy.	2h	
8	43  The Richard Petty Story	1974	https://archive.org/download/43TheRichardPettyStory_201301/43TheRichardPettyStory.mp4	mp4	https://i.ytimg.com/vi/cXIPuTVCJqA/maxresdefault.jpg	Inglese	Biography/Drama/Sport	Originally released to regional audiences, this biographical drama presents an intimate look at the Pettys, who achieved fame and success in the stock-car-racing world. Action-packed racing scenes alternate with looks at the personal conflicts between Richard Petty and his father Lee.	1h38m	
9	47 Ronin	2013	http://www.deadlyblogger.com/NewRelease/47ronin.html	mp4	https://m.media-amazon.com/images/I/518+WD5IGiL._SY445_.jpg	Inglese	Sci-fy	Japan, 18th century: forty-seven samurai want to avenge the death of their master, killed by an evil tyrant.	2h8m	
10	A Christmas Carol	2009	http://www.deadlyblogger.com/NewRelease/acc2009.mp4	mp4	https://upload.wikimedia.org/wikipedia/en/8/8d/ChistmasCarol2009-Poster.jpg	Inglese	Drama/fantasy	Disney's adaptation of the famous Dickens novel. Old Scrooge, an insensitive and miserly rich, has to deal with the spirit of the past, present and future to understand the joys of sharing.	1h36m	
11	A Disney Christmas Gift	1983	http://www.deadlyblogger.com/NewRelease/disneyc1.mp4	mp4	https://m.media-amazon.com/images/M/MV5BNWQ1OGIxMmItNjZlOC00OGYzLWEzOTQtNzIyYzFlMzM1ZDMyXkEyXkFqcGdeQXVyNjU2ODYzODU@._V1_FMjpg_UX1000_.jpg	Inglese	Animation/Comedy/Family	Compilation of eight segments tied to Christmas or winter in some small or big way from eight Disney features and shorts. Between the segments shots from Disneyland and of Disney toys are shown while narrators sing about the next clip.	47m	
12	A Night at the Roxbury	1998	http://www.deadlyblogger.com/NewRelease/roxbury.mp4	mp4	https://www.themoviedb.org/t/p/w500/7oZ5xE4AL4D5EbeQUaoRxahgzJX.jpg	Inglese	Romantic/Musical	Two dim-witted brothers dream of owning their own dance club or at least getting into the coolest and most exclusive club in town, The Roxbury. The Roxbury Guys, Steve and Doug Butabi, want to get into the best club in town, and also hope to open their own club.	1h22m	
13	A Nightmare on Elm Street	1984	http://www.deadlyblogger.com/NewRelease/elm1.mp4	mp4	https://afternoontapes.files.wordpress.com/2018/09/mv5byjq0ogqwztetn2e3nc00nzrkltljm2itngmwmte0ywnkmwvlxkeyxkfqcgdeqxvymte2otg4mjg-_v1_sy1000_cr006541000_al_.jpg?w=771	Inglese	horror	The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.	1h31m	
14	A Nightmare on Elm Street 2  Freddy's Revenge	1985	http://www.deadlyblogger.com/NewRelease/elm2.mp4	mp4	https://flxt.tmsimg.com/assets/p9410_p_v8_ad.jpg	Inglese	horror	A teenage boy is haunted in his dreams by deceased child murderer Freddy Krueger, who is out to possess him in order to continue his reign of terror in the real world.	1h27m	
15	A Nightmare on Elm Street 3  Dream Warriors	1987	http://www.deadlyblogger.com/NewRelease/elm3.mp4	mp4	https://m.media-amazon.com/images/M/MV5BMjFkYTEwNjAtYWU1YS00NTMyLTkwYmUtZjEyMjZjMDg5Njc5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg	Inglese	horror	A psychiist familiar with knife-wielding dream demon Freddy Krueger helps teens at a mental hospital battle the killer who is invading their dreams.	1h36m	
16	A Nightmare on Elm Street 4  The Dream Master	1988	http://www.deadlyblogger.com/NewRelease/elm4.mp4	mp4	https://flxt.tmsimg.com/assets/p10992_p_v10_aa.jpg	Inglese	horror	The monstrous spirit of a slain child murderer seeks revenge by invading the dreams of teenagers whose parents were responsible for his untimely death.	1h31m	
17	After Earth	2013	http://www.deadlyblogger.com/NewRelease/after.html	mp4	http://aforismi.meglio.it/img/film/After_earth.jpg	Inglese	Sci-fi/Action	A ranger and his son, from the planet Nova Prime, are on their way in their spacecraft when they are forced to make an emergency landing on Earth, which has become a wilderness dominated by strange creatures.	1h40m	
18	Against a Crooked Sky	1976	https://archive.org/download/AgainstACrookedSky/AgainstACrookedSky_title_2.mp4	mp4	https://m.media-amazon.com/images/M/MV5BMDlhNjJiZWYtNjE3ZC00ZTA5LTk2YjYtZDE4YzcwODg4YzU5XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_.jpg	Inglese	Adventure/Family/Western	When Charlotte Sutter is kidnapped by Apaches, her brother Sam, aided by an old drunk prospector, goes searching for her.	1h29m	
19	Ali	2001	http://www.deadlyblogger.com/NewRelease/ali1.html	mp4	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRQcsIleiBXdXNA2Gv3RkYsnvbvjbzAUWaT0kG8m5BefAwveFOs	Inglese	Drama/Sport	he story of the life and career of Muhammad Ali. The boxing champion has shown determination, physical endurance and intelligence, becoming a living legend in the American boxing world.	2h45m	
20	All the Kind Strangers	1974	https://archive.org/download/AlltheKindStrangers/AlltheKindStrangers_512kb.mp4	mp4	https://m.media-amazon.com/images/M/MV5BNDY1NzlhNWYtMWZkYy00ODY4LTk2NTItOGJhN2QzYWQwMTQ3XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg	Inglese	Horror/Thriller	A couple traveling through a backwoods area are held by a a group of orphans who want them to become their parents. Unfortunately, the kids have a habit of killing adults who refuse that pacular honor.	1h13m	
21	Amazing Spider-Man 2	2012	http://www.deadlyblogger.com/NewRelease/amazin2.html	mp4	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4r6go4uiJojpLm_EJp6Ebe_XqjrbJIpQa81EqtDRXYwy4ynuL	Inglese	Action/Adventure	Student Peter Parker's life is turned upside down by the arrival of dangerous new opponents. As Spider-Man, he must protect loved ones and New York City from this deadly threat.	2h22m	
22	American Gangster	2007	http://www.deadlyblogger.com/NewRelease/agangster.mp4	mp4	https://www.locchiodelcineasta.com/ezoimgfmt/locchiodelcineasta.com/wp-content/uploads/2020/02/locandina-di-American-Gangster-2007.jpg?ezimgfmt=rs:323x484/rscb43/ng:webp/ngcb43	Inglese	Thriller/Drama	New York, 1970s. The true story of Frank Lucas, a drug dealer who, following the death of his boss, manages to become the most famous drug dealer in America. Meanwhile, cop Richie Roberts tries to catch him.	2h56m	
23	American Hustle	2013	http://www.deadlyblogger.com/NewRelease/hustle2013.mp4	mp4	https://movieplayer.net-cdn.it/images/2013/11/04/american-hustle-la-locandina-ufficiale-290603.jpg	Inglese	Drama/Thriller	An ambitious FBI agent forces two cheating experts to infiltrate the New Jersey mafia.	1h18m	
24	Anchorman 2: The Legend Continues	2013	http://www.deadlyblogger.com/NewRelease/anchorman2.mp4	mp4	https://m.media-amazon.com/images/I/81qxP6kFOeL._SL1500_.jpg	Inglese	Comedy	Ron Burgundy tries to ride the wave when he and his team agree to work for one of the first broadcasters that broadcasts 24 hours a day.	1h59m	
25	Anchorman: The Legend of Ron Burgundy	2004	http://www.deadlyblogger.com/NewRelease/anchorman.mp4	mp4	https://pad.mymovies.it/filmclub/2007/02/148/locandina.jpg	Inglese	comedy	Anchorman: The Legend of Ron Burgundy is a 2004 American comedy film directed by Adam McKay, produced by Judd Apatow, starring Will Ferrell, and written by McKay and Ferrell. The film is a tongue-in-cheek take on the culture of the 1970s, pacularly the new Action News format.It portrays a San Diego TV station where Ferrell's title character clashes with his new female counterpart.	1h34m	
26	Animal	2001	http://www.deadlyblogger.com/NewRelease/animal.mp4	mp4	https://pad.mymovies.it/filmclub/2003/07/020/imm.jpg	Inglese	Action/Adventure	The archivist of a police station becomes the guinea pig of a bizarre experiment and is transformed into a walking zoo.	1h24m	
27	Animalympics	1980	https://archive.org/download/Animalympics_201704/Animalympics.mp4	mp4	https://m.media-amazon.com/images/M/MV5BYjQ1ODk5ZDYtYWFhOS00NGY4LWI2NTktNmRhYzgwMDEwMzA5XkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_FMjpg_UX1000_.jpg	Inglese	Animation/Comedy/Family	The animal kingdom stages its own olympic games.	1h18m	
