Idioma	Titolo	Anno	Genere	Numero Puntata	Titolo della puntata	Link	Info	Descrizione	Locandine	Altre info
Italiano	140 secondi	2015	Commedia	Episodio 1	#Lavoro Di Merda	https://streamcdnm2-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Rai/Ray/Ray_Ep_Generico/3882770_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	I sette motivi per cui il tuo è un lavoro di merda.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 10	#Primo Appuntamento	https://streamcdnm20-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Rai/Ray/Ray_Ep_Generico/3951748_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	Il linguaggio del corpo non mente mai.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 11	#L'Amante	https://streamcdnm4-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Rai/Ray/Ray_Ep_Generico/3967971_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	Dieci anni dalla maturità. E sentirli tutti.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 12	#Cena Di Classe	https://streamcdnm20-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Rai/Ray/Ray_Ep_Generico/3990286_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	Totoamante: con chi se la fa tua madre?	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 13	#Sexy Boss	https://streamcdnm1-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Rai/Ray/Ray_Ep_Generico/4017390_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	A un sexy boss non interessano i tuoi problemi personali.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 14	#La Notte Con Lei	https://streamcdnm1-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Rai/Ray/Ray_Ep_Generico/4020486_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	Le cose giuste da dire, da fare, la foto del padre sul comodino. Tutto in una notte.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 15	#La Notte Con Lui	https://streamcdng7-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Rai/Ray/Ray_Ep_Generico/4042404_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	Cambiamo punto di vista. Grey's Anatomy, una zitella interiore e una camicetta da 50 euro.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 2	#Affitto Di Casa	https://streamcdnm16-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Rai/Ray/Ray_Ep_Generico/3811397_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	E tu, hai pagato l'affitto questo mese?	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 3	#Matrimonio Gay	https://streamcdnm20-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Rai/Ray/Ray_Ep_Generico/3833892_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	il primo matrimonio gay non si scorda mai.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 4	#Precario	https://streamcdnm6-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom1/podcastcdn/Rai/Ray/Ray_Ep_Generico/3849489_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	Cosa succede quando tuo padre si ritrova disoccupato? Beve.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 5	#Riunione Di Lavoro	https://streamcdnm2-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Rai/Ray/Ray_Ep_Generico/3882770_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	Perché i colleghi sono sempre peggio di quello che ti aspetti.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 6	#La Dieta	https://streamcdnm22-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Rai/Ray/Ray_Ep_Generico/3885527_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	Parole da non dire mai a tua nonna: mi sono messo a dieta.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
Italiano	140 secondi	2015	Commedia	Episodio 7	#Festa In Maschera	https://streamcdnm16-b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/Rai/Ray/Ray_Ep_Generico/3895015_,250,400,700,1200,1800,2400,.mp4.csmil/chunklist-f2-v1-a1.m3u8	Stagione1	Non è mai una buona idea far ubriacare Zorro.	https://www.raiplay.it/cropgd/300x400/dl/img/2017/05/09/1494349308181_140_v.jpg	
