Lingua	Titolo	Anno	Genere	Link	Formato	Descrizione	Locandina	Durata	Info	Lingua	Sezione
Italiano	100% Coco	2017	Famiglia	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/podcastcdn/teche_root/PLAYRAI_TECHE_CINEMA_HD_2/10008256_,1800,.mp4.csmil/playlist.m3u8?auth=daEcvbYb_a1cJcHd6dbaudkaUb8bqaddBcG-bI_7HQ-c0-BkrvuEq&aifp=V001	m3u8	Il primo giorno di scuola al liceo è difficile per Coco. Viene presa in giro per il suo modo di vestire originale. Coco, infatti, è un'appassionata di moda e sogna di diventare una stilista	https://www.raiplay.it/cropgd/300x400/dl/img/2020/01/07/1578415966256_1536x2048_logo.jpg	1h25m		Italiano	Kids
Italiano	100% Coco - New York	2019	Famiglia	https://vod8-rai-it.akamaized.net/podcastcdn/raicinema/I_film_della_settimana/11597992_,800,1800,2400/playlist.m3u8?auth=daEcddbbycVd3aNdAaQbBa8dxdkawa5aVaF-bI_7IG-c0-DmsvvGu&aifp=V001	m3u8	Sei settimane indimenticabili per la giovane e talentuosa Coco, aspirante stilista con tanta voglia di emergere, che passerà a New York l'estate più bella della sua vita.	https://www.raiplay.it/cropgd/300x400/dl/img/2020/01/07/1578416172241_1536x2048_logo.jpg	1h17m		Italiano	Kids
Italiano	Abel - Il figlio del vento	2015	Famiglia	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/ostr1/podcastcdn/teche_root/YT_ITALIA_TECHE_HD_multiaudio/14337916_,1200,1800,2400/playlist.m3u8?auth=daEd2dPd_ahcrdXapcRb3accucjc1dZazcd-bJd49r-c0-EmsxuEu&aifp=V001	m3u8	Tra le alte vette, due aquilotti appena nati lottano nel nido: il primogenito fa precipitare il secondo. A salvare l'aquilotto caduto è un ragazzo, Lukas, che ha un difficile rapporto con il padre cacciatore. Proprio per questo Lukas tiene nascosta la presenza del rapace mentre lo nutre e cerca di prepararlo alla dura battaglia della vita con l'aiuto di Danzer, un saggio guardaboschi	https://www.raiplay.it/cropgd/300x400/dl/img/2019/12/24/1577185185190_1536x2048_logo.jpg	1h35m		Italiano	Kids
Italiano	ACQUATEAM - Missione Mare	2021	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom7/podcastcdn/teche_root/KIDS_TECHE_HD/14146339_,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEdsdaaUbTbtdIaDdIbLdFbcbdbbcfaLa3-bI__iT-c0-ImruxFs&aifp=V001	m3u8	Il formidabile "ACQUATEAM" è pronto a tuffarsi fra i tesori del mare per difenderli dalle minacce dell'inquinamento: è questa la missione della "strana coppia" formata dalla "super-biologa" marina Marysun, versione animata dell'esperta oceanografa Mariasole Bianco, nota al pubblico televisivo per i suoi interventi nella trasmissione di Rai3 "Kilimangiaro", e il suo inseparabile assistente, un polpo dalle mille risorse di nome Otty. Se una balena smette improvvisamente di cantare, la barriera corallina sbianca, un pesce del Pacifico si perde nel Mediterraneo o più semplicemente una ragazzina vuole scoprire le meraviglie del mare... 	https://www.raiplay.it/cropgd/300x400/dl/img/2021/03/17/1615989231593_h2-team-missione-mare_1536x2048_logo.jpg	24m		Italiano	Kids
Italiano	Allegro non troppo	1977	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/ostr2/podcastcdn/teche_root/YT_ITALIA_TECHE_HD/dYfm1344p90MssSlash59bWvq86weeqqEEqualeeqqEEqual_,1200,1800,2400/playlist.m3u8?auth=daEcbaJbzafaVaLbOaDawcfaQdWc5aMdmbH-bJaKnh-c0-BjwvwEs&aifp=V001	m3u8	Un regista, deciso a fare un film a disegni animati su brani musicali celebri, mette insieme un'orchestra di "vecchiacce" e la porta al Teatro Donizetti di Bergamo. Qui dovrà vedersela con un confusionario direttore d'orchestra e con i trucchi biechi della produzione. Un autentico cult di Bruno Bozzetto, un omaggio creativo, ironico e graffiante a "Fantasia" della Disney.	https://www.raiplay.it/cropgd/300x400/dl/img/2022/07/01/1656680464303_1536x2048_logo.jpg	1h14m		Italiano	Kids
Italiano	Bastoncino	2015	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom7/podcastcdn/teche_root/KIDS_TECHE_HD/oiYNW4ZqMY4WFf9pPpPluss9ANskAeeqqEEqualeeqqEEqual_,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEbNaecUdabzcDchaYbTd7aQbidYdBcPbx-bJerbU-c0-JjvwxHn&aifp=V001	m3u8	Dal libro di Julia Donaldson illustrato da Alex Scheffler, il team di Michael Rose, che ha prodotto il pluripremiato "Gruffalo", trasforma in un nuovo avvincente e commovente film animato il racconto dell'epico viaggio che un padre di famiglia affronta per tornare a casa in tempo per Natale e viverlo in serenità con gli affetti più cari	https://www.raiplay.it/cropgd/300x400/dl/img/2020/08/18/1597760125436_Bastoncino_1536x2048_logo.jpg	28m		Italiano	Kids
Italiano	Bat Pat - Ho! Ho! Ho! Buon Natale da urlo	2019	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom7/podcastcdn/teche_root/KIDS_TECHE_HD/11566132_,1200,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEbHbOdRcUa5avbncmcGa7aSdIaYbramae-bJerdq-c0-DkrxuGt&aifp=V001	m3u8	Nell'episodio speciale di Natale, Bat Pat e i Silver si trovano ad aiutare Zuccherello, una creatura capellona che sogna di costruire giocattoli e diventare un elfo di Babbo Natale. Purtroppo le sue creazioni fanno spaventare i bambini a Fogville, così i ragazzi decidono di accompagnarlo da Babbo Natale in persona. Arrivati al Polo Nord, però, scoprono che le renne sono scappate, spaventate da un drago incantato di nome Kaya. Dopo vari tentativi di far muovere la slitta senza renne, Bat Pat e i Silver capiscono che l'unico modo per salvare il Natale è trovare un mezzo di trasporto alternativo per Babbo Natale.	https://www.raiplay.it/cropgd/300x400/dl/img/2019/12/23/1577117937216_1536x2048-logo.jpg	24m		Italiano	Kids
Italiano	Bat Pat - Speciale Halloween	2019	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom2/Italy/podcastcdn/junior/Rai_Gulp/Bat_Pat/11275570_,800,1800,2400,.mp4.csmil/playlist.m3u8?auth=daEa3aMaBbybkbicldkbwcQdSbScvaiagaI-bJereq-c0-FjzuyFr&aifp=V001	m3u8	Freddo, un vampiro musicista, è in cerca di una nuova band per suonare al ballo di Halloween. Per questo chiede aiuto a Bat Pat e i Silver, tre ragazzini appassionati di soprannaturale: dopo averlo aiutato, i nostri protagonisti lo accompagnano a prendere lo Spettrotreno per il Monte Halloween. Ma trovano una brutta sorpresa: qualcuno ha rubato il carbone incantato che mette in moto lo Spettrotreno. Bat Pat e i ragazzi proveranno a trovare un carburante alternativo...	https://www.raiplay.it/cropgd/300x400/dl/img/2019/10/24/1571937361882_1536x2048_logo.jpg	24m		Italiano	Kids
Italiano	Berry Bees - Natale 2.0	2019	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/dom6/podcastcdn/teche_root/KIDS_TECHE_HD/11538635_,1800,.mp4.csmil/playlist.m3u8?auth=daEacchaZaJd4azbBbYacdvdbc1cYa1aGbX-bJeAJe-c0-ClyusEs&aifp=V001	m3u8	È la vigilia di Natale, ma non è ancora venuto il momento di festeggiare per le Berry Bees: Babbo Natale è in pericolo! A Bobby, Lola e Juliette non resta che trovare il modo di raggiungere il fantomatico laboratorio di giocattoli al Polo Nord: comincia per le Berry Bees una corsa mozzafiato contro il tempo. Riusciranno Bobby, Lola e Juliette a salvare il Natale?	https://www.raiplay.it/cropgd/300x400/dl/img/2019/12/18/1576669699562_Berry%20Bees%20Speciale%20Natale_1536x2048_logo%20OK.jpg	24m		Italiano	Kids
Italiano	Berry Bees - Tre volte trappola	2019	Animazione - Fantastico	https://b70cb04c54ab478189e9d8ee45637b13.msvdn.net/ostr8/podcastcdn/junior/Rai_Gulp/Berry_Bees/11639815_,800,1800,2400/playlist.m3u8?auth=daEdUaWc4c9dWdQc2dKcbbybPcJd1b6d7cT-bJeAJ.-c0-GjzwxGo&aifp=V001	m3u8	Non c'è un attimo di riposo per le giovani spie: Ms. Berry ha di nuovo bisogno di loro e questa volta le chiama addirittura al cellulare! La BIA è in serio pericolo, qualcuno ha rapito tutti gli agenti adulti e li tiene prigionieri in un parco dei divertimenti abbandonato sull'Isola dello Strillo. Le Berry Bees sono le uniche in grado di salvare l'intera agenzia e devono farlo in fretta. Ma al loro arrivo, una terribile sorpresa le aspetta... Sono qui per salvare le spie o sono loro il vero bersaglio? E chi è il misterioso nemico che sta cercando a tutti i costi di distruggere la BIA?	https://www.raiplay.it/cropgd/300x400/dl/img/2020/04/03/1585931207050_Berry%20Bees%20-%20Tre%20volte%20trappola_1536x2048_logo.jpg	23m		Italiano	Kids
